수산물품목코드,대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,이명,학명,한글과명,영문과명,수과원계통ID
610000,61,해면어류,00,,00,,,,,,
610100,61,해면어류,01,가오리류,00,가오리류,,,,,
610101,61,해면어류,01,가오리류,01,노랑가오리,"Redsting ray, Red skate, 노랑가부리(부산), 창가오리, 간재미, 가오리(전남), 딱장가오리, 딱장가부리",Dasyatis akajei,색가오리과,Family Dasyatidae,MF0008652
610102,61,해면어류,01,가오리류,02,목탁가오리,"Fanray, 목대기(전남), 박대(평북), 목대, 목대가오리(정주)",Platyrhina sinensis,가래상어과,Family Rhinobatidae,MF0006268
610103,61,해면어류,01,가오리류,03,흰가오리,"Sepia stingray, 흰가부리(부산)",Urolophus aurantiacus,흰가오리과,Family Urolophidae,MF0001416
610104,61,해면어류,01,가오리류,04,거울가오리,"Brown ray, Homelyn mirror ray,거울홍어",Raja miraletus,가오리과,Family Rajidae,MF0006119
610105,61,해면어류,01,가오리류,05,전기가오리,"Japanese sleeper ray, 시끈가오리, 시끈가부리(부산), 밀가우리, 쟁개비(서해안)",Narke japonica,전기가오리과,Family Narcinidae,MF0007476
610106,61,해면어류,01,가오리류,06,나비가오리,,Gymnura japonica,나비가오리과,Family Gymnuridae,
610107,61,해면어류,01,가오리류,07,만타가오리,,,만타가오리과,,
610108,61,해면어류,01,가오리류,08,보라색가오리,"Pelagic stingray, Violet stingray",Dasyatis violacea,색가오리과,Family Dasyatidae,MF0008657
610109,61,해면어류,01,가오리류,09,쥐가오리,,Mobula japonica,매가오리과,Family Myliobatididae,
610199,61,해면어류,01,가오리류,99,기타가오리류,,,,,
610200,61,해면어류,02,가자미류,00,가자미류,,,,,
610201,61,해면어류,02,가자미류,01,도다리,Finespotted flounder,Pleuronichthys cornutus,가자미과,Family Pleuronectidae,MF0014568
610202,61,해면어류,02,가자미류,02,용가자미,Pointhead flounder,Hippoglossoides pinetorum,가자미과,Family Pleuronectidae,MF0011202
610203,61,해면어류,02,가자미류,03,참가자미,"Brown sole, 참가재미, 개재미",Pleuronectes herzensteini,가자미과,Family Pleuronectidae,MF0007335
610204,61,해면어류,02,가자미류,04,물가자미,"Shotted halibut, 감중어, 물가재미(함북)",Eopsetta grigorjewi,가자미과,Family Pleuronectidae,MF0000920
610205,61,해면어류,02,가자미류,05,기름가자미,Blackfin flounder,Glyptocephalus stelleri,가자미과,Family Pleuronectidae,MF0004253
610206,61,해면어류,02,가자미류,06,문치가자미,,Pleuronectes yokohamae,가자미과,Family Pleuronectidae,MF0007995
610207,61,해면어류,02,가자미류,07,홍가자미,"Flathead flounder, Red halibut",Hippoglossoides dubius,가자미과,Family Pleuronectidae,MF0006751
610208,61,해면어류,02,가자미류,08,돌가자미,"Stone flounder, 돌가재미(황해도, 부산)",Kareius bicoloratus,가자미과,Family Pleuronectidae,MF0000634
610209,61,해면어류,02,가자미류,09,노랑가자미,,Verasper moseri,가자미과,Family Pleuronectidae,
610210,61,해면어류,02,가자미류,10,각시가자미,"Yellowfin sole, Alaska dab",Pleuronectes aspera,가자미과,Family Pleuronectidae,MF0007332
610211,61,해면어류,02,가자미류,11,줄가자미,Roughscale sole,Clidoderma asperrimum,가자미과,Family Pleuronectidae,MF0013977
610212,61,해면어류,02,가자미류,12,강도다리,"Starry flounder, Diamond back",Platichthys stellatus,가자미과,Family Pleuronectidae,MF0014069
610213,61,해면어류,02,가자미류,13,갈가자미,"Willowy flounder, 갈가재미(전남), 납세미(부산)",Tanakius kitaharai,가자미과,Family Pleuronectidae,MF0004281
610214,61,해면어류,02,가자미류,14,범가자미,"Spotted halibut, 범가재미(강원), 별납생이(전남)",Verasper variegatus,가자미과,Family Pleuronectidae,MF0003969
610215,61,해면어류,02,가자미류,15,점가자미,,Limanda schrenki,가자미과,Family Pleuronectidae,MF0007994
610216,61,해면어류,02,가자미류,16,까지가자미,"Rock sole, Broadfin sole",Pleuronectes bilineatus,가자미과,Family Pleuronectidae,MF0002963
610217,61,해면어류,02,가자미류,17,눈가자미,"Rikuzen flounder, Rikuzen sole, 눈가재미(한어)",Dexistes rikuzenius,가자미과,Family Pleuronectidae,MF0014032
610218,61,해면어류,02,가자미류,18,말가자미,,,,,
610219,61,해면어류,02,가자미류,19,주둥가자미,Righteye flounder,Pleuronectes proboscideus,가자미과,Family Pleuronectidae,MF0007334
610220,61,해면어류,02,가자미류,20,검정가자미,Greenland halibut,Reinhardtius hippoglossoides,가자미과,Family Pleuronectidae,MF0003508
610221,61,해면어류,02,가자미류,21,넙치가자미,,Laeops lanceolata,넙치과,Family Paralichthyidae,
610222,61,해면어류,02,가자미류,22,마설가자미,Pacific halibut,Hippoglossus stenolepis,가자미과,Family Pleuronectidae,MF0006746
610223,61,해면어류,02,가자미류,23,마소치가자미,Fladhead sole,Hippoglossoides elassodon,가자미과,Family Pleuronectidae,MF0006750
610224,61,해면어류,02,가자미류,24,매듭가자미,Alaska plaice,Pleuronectes quadrituberculatus,가자미과,Family Pleuronectidae,MF0007336
610225,61,해면어류,02,가자미류,25,별목탁가자미,,Bothus myriaster,둥글넙치과,Family Bothidae,
610226,61,해면어류,02,가자미류,26,장수기름가자미,,Glyptocephalus zachirus,,,
610227,61,해면어류,02,가자미류,27,찰가자미,Slime flounder,Microstomus achne,가자미과,Family Pleuronectidae,MF0003233
610228,61,해면어류,02,가자미류,28,첨치가자미,Arrowtooth flounder,Atheresthes stomias,가자미과,Family Pleuronectidae,MF0013260
610229,61,해면어류,02,가자미류,29,층거리가자미,"Sand flounder, longsnout flounder, 층거리가재미, 층거리(강원)",Pleuronectes punctatissima,가자미과,Family Pleuronectidae,MF0007337
610230,61,해면어류,02,가자미류,30,터봇,,Psetta maxima,터봇과,Family Scophthalmidae,
610231,61,해면어류,02,가자미류,31,까치가자미,,Lepidopsetta bilineata,가자미과,Family Pleuronectidae,
610232,61,해면어류,02,가자미류,32,목탁가자미,,Arnoglossus japonicus,둥글넙치과,Family Bothidae,MF0015161
610233,61,해면어류,02,가자미류,33,신월가자미,Crescent sole,Samariscus japonicus,신월가자미과,Family Samaridae,MF0004911
610234,61,해면어류,02,가자미류,34,중설가자미,Tongue flatfish,Plagiopsetta glossa,신월가자미과,Family Samaridae,MF0004913
610235,61,해면어류,02,가자미류,35,흰비늘가자미,,Laeops kitaharae,둥글넙치과,Family Bothidae ,
610299,61,해면어류,02,가자미류,99,기타가자미류,,,,,
610300,61,해면어류,03,갈치류,00,갈치류,,,,,
610301,61,해면어류,03,갈치류,01,먹갈치,갈치의 상품분류명,Trichiurus lepturus,갈치과,Family Trichiuridae,MF0004393
610302,61,해면어류,03,갈치류,02,은갈치,갈치의 상품분류명,Trichiurus lepturus,갈치과,Family Trichiuridae,MF0004393
610303,61,해면어류,03,갈치류,03,갈치,"Largehead hairtail, 빈쟁이(통영), 풀치(전남에서 새끼를 말함),은갈치,먹갈치",Trichiurus lepturus,갈치과,Family Trichiuridae,MF0004393
610304,61,해면어류,03,갈치류,04,동갈치,"Needle fish, gar fish, Pacific needlefish, 동가리갈치, 황달치(통영), 청갈치, 황알치, 공치아재비(전남)",Strongylura anastomella,동갈치과,Family Belonidae,MF0005576
610305,61,해면어류,03,갈치류,05,분장어,,Eupleurogrammus muticus,갈치과,Family Trichiuridae,MF0009880
610306,61,해면어류,03,갈치류,06,붕동갈치,,Assurger anzac,갈치과,Family Trichiuridae ,
610399,61,해면어류,03,갈치류,99,기타갈치류,,,,,
610400,61,해면어류,04,갈치꼬치류,00,갈치꼬치류,,,,,
610401,61,해면어류,04,갈치꼬치류,01,흑갈치꼬치,"Escolar,기름치",Lepidocybium flavobrunneum,갈치꼬치과,Family Gempylidae,MF0005101
610402,61,해면어류,04,갈치꼬치류,02,통치,Royal escolar,Rexea prometheoides,갈치꼬치과,Family Gempylidae,MF0002475
610499,61,해면어류,04,갈치꼬치류,99,기타갈치꼬치류,,,,,
610500,61,해면어류,05,강달이류,00,강달이류,,,,,
610501,61,해면어류,05,강달이류,01,황강달이,"Big head croaker, 민강달이(한어),황석어",Collichthys lucidus,민어과,Family Sciaenidae,MF0014234
610502,61,해면어류,05,강달이류,02,눈강달이,"Big head croaker, 강다리(전남), 청강달어(평남)",Collichthys niveatus,민어과,Family Sciaenidae,MF0014235
610599,61,해면어류,05,강달이류,99,기타강달이류,,,,,
610600,61,해면어류,06,개복치류,00,개복치류,,,,,
610601,61,해면어류,06,개복치류,01,개복치,"common mola, trunkfish, Ocean sunfish, 안진복(부산, 경주), 골복짱이(영덕)",Mola mola,개복치과,Family Molidae,MF0003843
610602,61,해면어류,06,개복치류,02,물개복치,Sharptail mola,Masturus lanceolatus,개복치과,Family Molidae,MF0003658
610699,61,해면어류,06,개복치류,99,기타개복치류,,,,,
610700,61,해면어류,07,게르치류,00,게르치류,,,,,
610701,61,해면어류,07,게르치류,01,게르치,Gnomefish,Scombrops boops,게르치과,Family Pomatomidae,MF0003705
610702,61,해면어류,07,게르치류,02,눈볼대,"Blackthroat seaperch, 눈퉁이, 눈뿔다구, 빨간고기(부산), 붉은고기",Doederleinia berycoides,반딧불게르치과,Family Acropomatidae,MF0001691
610703,61,해면어류,07,게르치류,03,돗돔,"Striped jewfish,돌민어",Stereolepis doederleini,반딧불게르치과,Family Acropomatidae,MF0011736
610704,61,해면어류,07,게르치류,04,눈퉁바리,,Malakichthys griseus,반딧불게르치과,Family Acropomatidae,
610705,61,해면어류,07,게르치류,05,반딧불게르치,Glowbelly,Acropoma japonicum,반딧불게르치과,Family Acropomatidae,MF0008296
610706,61,해면어류,07,게르치류,06,볼기우럭,"Silverbelly sea perch, Silverbelly perch",Malakichthys wakiyae,반딧불게르치과,Family Acropomatidae,MF0004526
610707,61,해면어류,07,게르치류,07,은눈퉁바리,,Malakichthys elegans,반딧불게르치과,Family Acropomatidae,MF0011960
610708,61,해면어류,07,게르치류,08,필립흙무굴치,,Synagrops philippinensis,반딧불게르치과,Family Acropomatidae,MF0006840
610709,61,해면어류,07,게르치류,09,흙무굴치,Blackmouth spiltfin,Synagrops japonicus,반딧불게르치과,Family Acropomatidae,MF0006839
610799,61,해면어류,07,게르치류,99,기타게르치류,,,,,
610800,61,해면어류,08,고등어류,00,고등어류,,,,,
610801,61,해면어류,08,고등어류,01,망치고등어,"Blue mackerel, Spotted chub mackerel, 고등어, 점고등어(부산)",Scomber australasicus,고등어과,Family Scombridae,MF0001594
610802,61,해면어류,08,고등어류,02,고등어,"Common mackerel, Chub mackerel, 고동어(함남), 고망어(강원도), 고도어, 고도리, 열소고도리, 소고도리, 통소고도리(강원도)",Scomber japonicus,고등어과,Family Scombridae,MF0010790
610803,61,해면어류,08,고등어류,03,몽치다래,"Bullet tuna, 몽치(제주도), 오고드리(통영)",Auxis rochei,고등어과,Family Scombridae,MF0001577
610804,61,해면어류,08,고등어류,04,갈고등어,Amberstripe scad,Decapterus muroadsi,전갱이과,Family Carangidae,MF0009115
610805,61,해면어류,08,고등어류,05,물치다래,뭉치다래,Auxis thazard,고등어과,Family Scombridae,MF0001576
610806,61,해면어류,08,고등어류,06,재방어,,Scomberomorus sinensis,고등어과,Family Scombridae,
610807,61,해면어류,08,고등어류,07,줄무늬고등어,Indian mackerel,Rastrelliger kanagurta,고등어과,Family Scombridae,MF0003520
610899,61,해면어류,08,고등어류,99,기타고등어류,,,,,
610900,61,해면어류,09,곰치류,00,곰치류,,,,,
610901,61,해면어류,09,곰치류,01,곰치,,Gymnothorax kidako,곰치과,Family Muraenidae,
610902,61,해면어류,09,곰치류,02,나망곰치,,Gymnothorax reticularis,곰치과,Family Muraenidae,MF0015203
610999,61,해면어류,09,곰치류,99,기타곰치류,,,,,
611000,61,해면어류,10,까나리류,00,까나리류,,,,,
611001,61,해면어류,10,까나리류,01,까나리,"Pacific sandeel, Pacific sand lance, 양미리(강원)",Ammodytes personatus,까나리과,Family Ammodytidae,MF0011288
611099,61,해면어류,10,까나리류,99,기타까나리류,,,,,
611100,61,해면어류,11,꼬리치류,00,꼬리치류,,,,,
611101,61,해면어류,11,꼬리치류,01,꼬리치,Pacific jellynose fish,Ateleopus japonicus,꼬리치과,Family Ateleopodidae,MF0013243
611199,61,해면어류,11,꼬리치류,99,기타꼬리치류,,,,,
611200,61,해면어류,12,꼬치고기류,00,꼬치고기류,,,,,
611201,61,해면어류,12,꼬치고기류,01,꼬치고기,Red barracuda,Sphyraena pinguis,꼬치고기과,Family Sphyraenidae,MF0009496
611202,61,해면어류,12,꼬치고기류,02,창꼬치,,Sphyraena obtusata,꼬치고기과,Family Sphyraenidae,MF0014094
611203,61,해면어류,12,꼬치고기류,03,애꼬치,"Japanese barracuda, 꼬치고기, 꼬지",Sphyraena japonica,꼬치고기과,Family Sphyraenidae,MF0014095
611299,61,해면어류,12,꼬치고기류,99,기타꼬치고기류,,,,,
611300,61,해면어류,13,꼼치류,00,꼼치류,,,,,
611301,61,해면어류,13,꼼치류,01,꼼치,Tanakas snailfish,Liparis tanakai,꼼치과,Family Liparidae,MF0008563
611302,61,해면어류,13,꼼치류,02,물메기,Cubed snailfish,Liparis tessellatus,꼼치과,Family Liparidae,MF0008564
611303,61,해면어류,13,꼼치류,03,물미거지,Barred snailfish,Crystallichthys matsushimae,꼼치과,Family Liparidae,MF0006787
611304,61,해면어류,13,꼼치류,04,아가씨물메기,Agassiz's snailfish,Liparis agassizii,꼼치과,Family Liparidae,MF0008561
611305,61,해면어류,13,꼼치류,05,노랑물메기,,Liparis chefuensis,꼼치과,Family Liparidae ,
611306,61,해면어류,13,꼼치류,06,미거지,Okhotsk snailfish,Liparis ochotensis,꼼치과,Family Liparidae,MF0008562
611307,61,해면어류,13,꼼치류,07,분홍꼼치,Salmon snailfish,Careproctus rastrinus,꼼치과,Family Liparidae,MF0009371
611399,61,해면어류,13,꼼치류,99,기타꼼치류,,,,,
611400,61,해면어류,14,꽁치류,00,꽁치류,,,,,
611401,61,해면어류,14,꽁치류,01,꽁치,Pacific saury,Cololabis saira,꽁치과,Family Scomberesocidae,MF0007000
611402,61,해면어류,14,꽁치류,02,과메기(꽁치),Pacific saury,Cololabis saira,꽁치과,Family Scomberesocidae,MF0007000
611499,61,해면어류,14,꽁치류,99,기타꽁치류,,,,,
611500,61,해면어류,15,나비고기류,00,나비고기류,,,,,
611501,61,해면어류,15,나비고기류,01,나비고기,,Chaetodon auripes,나비고기과,Family Chaetodontidae,MF0018984
611502,61,해면어류,15,나비고기류,02,가시나비고기,Threadfin butterflyfish,Chaetodon auriga,나비고기과,Family Chaetodontidae,MF0012513
611503,61,해면어류,15,나비고기류,03,꼬리줄나비고기,,Chaetodon wiebeli,나비고기과,Family Chaetodontidae,
611504,61,해면어류,15,나비고기류,04,나비돔,,Chaetodon nippon,나비고기과,Family Chaetodontidae,MF0012507
611505,61,해면어류,15,나비고기류,05,두동가리돔,,Heniochus acuminatus,나비고기과,Family Chaetodontidae,MF0004716
611506,61,해면어류,15,나비고기류,06,룰나비고기,,Chaetodon lunula,나비고기과,Family Chaetodontidae,
611507,61,해면어류,15,나비고기류,07,세동가리돔,"Brown-banded butterfly fish, 세동가리돔(경남)",Chaetodon modestus,나비고기과,Family Chaetodontidae,MF0012508
611599,61,해면어류,15,나비고기류,99,기타나비고기류,,,,,
611600,61,해면어류,16,날개멸류,00,날개멸류,,,,,
611601,61,해면어류,16,날개멸류,01,날개멸,,Bregmaceros japonicus,날개멸과,Family Bregmacerotidae,MF0002376
611699,61,해면어류,16,날개멸류,99,기타날개멸류,,,,,
611700,61,해면어류,17,날개줄고기류,00,날개줄고기류,,,,,
611701,61,해면어류,17,날개줄고기류,01,날개줄고기,Sailfin poacher,Podothecus sachi,날개줄고기과,Family Agonidae,MF0000981
611702,61,해면어류,17,날개줄고기류,02,갈키고기,,Pallasina barbata,날개줄고기과,Family Agonidae,
611703,61,해면어류,17,날개줄고기류,03,고양이줄고기,,Hypsagonus jordani,날개줄고기과,Family Agonidae,
611704,61,해면어류,17,날개줄고기류,04,곱추줄고기,,Hypsagonus proboscidalis,날개줄고기과,Family Agonidae,
611705,61,해면어류,17,날개줄고기류,05,꽃줄고기,Bering poacher,Occella dodecaedron,날개줄고기과,Family Agonidae,MF0012782
611706,61,해면어류,17,날개줄고기류,06,네줄고기,Dragon poacher,Percis japonicus,날개줄고기과,Family Agonidae,MF0013172
611707,61,해면어류,17,날개줄고기류,07,말락줄고기,"Alligatorfish, Poacher",Podothecus sturiodes,날개줄고기과,Family Agonidae,MF0000980
611708,61,해면어류,17,날개줄고기류,08,민어치,,Anoplagonus occidentalis,날개줄고기과,Family Agonidae,
611709,61,해면어류,17,날개줄고기류,09,뿔줄고기,,Hypsagonus quadricornis,날개줄고기과,Family Agonidae,
611710,61,해면어류,17,날개줄고기류,10,실줄고기,,Podothecus thompsoni,날개줄고기과,Family Agonidae,MF0000983
611711,61,해면어류,17,날개줄고기류,11,왕눈줄고기,,Podothecus veternus,날개줄고기과,Family Agonidae,
611712,61,해면어류,17,날개줄고기류,12,잔줄고기,,Brachyopsis rostrata,날개줄고기과,Family Agonidae,
611713,61,해면어류,17,날개줄고기류,13,흑줄고기,,Tilesina gibbosa,날개줄고기과,Family Agonidae,MF0008761
611714,61,해면어류,17,날개줄고기류,14,가시줄고기,,Hypsagonus corniger,날개줄고기과,Family Agonidae,MF0019442
611715,61,해면어류,17,날개줄고기류,15,긴코줄고기,Longnose poacher,Leptagonus leptorhynchus,날개줄고기과,Family Agonidae,MF0003592
611716,61,해면어류,17,날개줄고기류,16,팔각줄고기,,Podothecus hamlini,날개줄고기과,Family Agonidae,MF0015399
611799,61,해면어류,17,날개줄고기류,99,기타날개줄고기류,,,,,
611800,61,해면어류,18,날쌔기류,00,날쌔기류,,,,,
611801,61,해면어류,18,날쌔기류,01,날쌔기,"Cobia, 날새기(전남)",Rachycentron canadum,날쌔기과,Family Rachycentridae,MF0006560
611899,61,해면어류,18,날쌔기류,99,기타날쌔기류,,,,,
611900,61,해면어류,19,날치류,00,날치류,,,,,
611901,61,해면어류,19,날치류,01,날치,"Japanese flyingfish, 날치어, 날치(전남), 날치고기(강원)",Cypselurus agoo agoo,날치과,Family Exocoetidae,MF0012406
611902,61,해면어류,19,날치류,02,날치알,"Japanese flyingfish, 날치어, 날치(전남), 날치고기(강원)",Cypselurus agoo agoo,날치과,Family Exocoetidae,MF0012406
611903,61,해면어류,19,날치류,03,제비날치,Darkedged-wing flyingfish,Cypselurus hiraii,날치과,Family Exocoetidae,MF0012393
611904,61,해면어류,19,날치류,04,새날치,,Cypselurus poecilopterus,날치과,Family Exocoetidae,MF0012394
611905,61,해면어류,19,날치류,05,매날치,,Danichthys rondeletii,날치과,Family Exocoetidae,MF0000985
611906,61,해면어류,19,날치류,06,상날치,,Exocoetus volitans,날치과,Family Exocoetidae,MF0000944
611907,61,해면어류,19,날치류,07,황날치,,Parexocoetus brachypterus brachypterus,날치과,Family Exocoetidae,
611999,61,해면어류,19,날치류,99,기타날치류,,,,,
612000,61,해면어류,20,남극암치류,00,남극암치류,,,,,
612001,61,해면어류,20,남극암치류,01,파타고니아이빨고기,"Patagonian toothfish,비막치어,파타니아이빨고기,메로",Dissostichus eleginoides,남극암치과,Family Nototheniidae,MF0007659
612002,61,해면어류,20,남극암치류,02,남극이빨고기,TOA,Dissostichus mawsoni,남극암치과,Family Nototheniidae,MF0007658
612099,61,해면어류,20,남극암치류,99,기타남극암치류,,,,,
612100,61,해면어류,21,넙치류,00,넙치류,,,,,
612101,61,해면어류,21,넙치류,01,넙치,"Bastard halibut, Oliver flounder, 광어(남한 일대), 넙(고저)",Paralichthys olivaceus,넙치과,Family Paralichthyidae,MF0008111
612102,61,해면어류,21,넙치류,02,별넙치,Cinnamon flounder,Pseudorhombus cinnamoneus,넙치과,Family Paralichthyidae,MF0001441
612103,61,해면어류,21,넙치류,03,왜넙치,,Tarphops oligolepis,넙치과,Family Paralichthyidae,
612104,61,해면어류,21,넙치류,04,점넙치,"Fivespot flounder, 점넙치(전남)",Pseudorhombus pentophthalmus,넙치과,Family Paralichthyidae,MF0007362
612105,61,해면어류,21,넙치류,05,풀넙치,Large-scale flounder,Citharoides macrolepidotus,풀넙치과,Family Citharidae,MF0012472
612106,61,해면어류,21,넙치류,06,검은꼬리넙치,,Japonolaeops dentatus,둥글넙치과,Family Bothidae ,
612107,61,해면어류,21,넙치류,07,좀넙치,,Tarphops elegans,넙치과,Family Paralichthyidae ,
612199,61,해면어류,21,넙치류,99,기타넙치류,,,,,
612200,61,해면어류,22,노랑벤자리류,00,노랑벤자리류,,,,,
612201,61,해면어류,22,노랑벤자리류,01,노랑벤자리,Yellowsail red bass,Callanthias japonicus,노랑벤자리과,Family Callanthiidae,MF0000843
612299,61,해면어류,22,노랑벤자리류,99,기타노랑벤자리류,,,,,
612300,61,해면어류,23,노래미류,00,노래미류,,,,,
612301,61,해면어류,23,노래미류,01,노래미,"Spottybelly greenling, 노르매, 노랭이, 놀래기, 졸락(제주도),놀래기",Hexagrammos agrammus,쥐노래미과,Family Hexagrammidae,MF0012648
612302,61,해면어류,23,노래미류,02,임연수어,Okhostk atka mackerel,Pleurogrammus azonus,쥐노래미과,Family Hexagrammidae,MF0007326
612303,61,해면어류,23,노래미류,03,쥐노래미,"Fat greenling, 석반어(평남), 게르치(부산)",Hexagrammos otakii,쥐노래미과,Family Hexagrammidae,MF0012645
612304,61,해면어류,23,노래미류,04,단기임연수어,Atka mackerel,Pleurogrammus monopterygius,쥐노래미과,Family Hexagrammidae,MF0007333
612305,61,해면어류,23,노래미류,05,줄노래미,Rock greenling,Hexagrammos octogrammus,쥐노래미과,Family Hexagrammidae,MF0012644
612399,61,해면어류,23,노래미류,99,기타노래미류,,,,,
612400,61,해면어류,24,노메치류,00,노메치류,,,,,
612401,61,해면어류,24,노메치류,01,동강연치,"Shortfin cigarfish, Indian driftfish",Cubiceps squamiceps,노메치과,Family Nomeidae,MF0006783
612499,61,해면어류,24,노메치류,99,기타노메치류,,,,,
612500,61,해면어류,25,놀래기류,00,놀래기류,,,,,
612501,61,해면어류,25,놀래기류,01,놀래기,,Halichoeres tenuispinnis,놀래기과,Family Labridae,
612502,61,해면어류,25,놀래기류,02,용치놀래기,"Multicolorfin rainbowfish, 용치(전남), 술맹이(제주도), 이놀래기(포항), 수멩이(통영), 술뱅이(부산)",Halichoeres poecilopterus,놀래기과,Family Labridae,MF0009745
612503,61,해면어류,25,놀래기류,03,고생놀래기,,Thalassoma cupido,놀래기과,Family Labridae,
612504,61,해면어류,25,놀래기류,04,꼬치놀래기,,Cheilio inermis,놀래기과,Family Labridae,
612505,61,해면어류,25,놀래기류,05,무지개놀래기,,Stethojulis interrupta terina,놀래기과,Family Labridae,
612506,61,해면어류,25,놀래기류,06,비단놀래기,,Thalassoma purpureum,놀래기과,Family Labridae,
612507,61,해면어류,25,놀래기류,07,사당놀래기,,Bodianus bilunulatus,놀래기과,Family Labridae,
612508,61,해면어류,25,놀래기류,08,사랑놀래기,"Blackspot hogfish, banded pigfish, rainbowfish, 사랑고기",Bodianus oxycephalus,놀래기과,Family Labridae,MF0002822
612509,61,해면어류,25,놀래기류,09,실놀래기,,Pseudolabrus gracilis,놀래기과,Family Labridae,
612510,61,해면어류,25,놀래기류,10,실용치,,Cirrhilabrus temmincki,놀래기과,Family Labridae,
612511,61,해면어류,25,놀래기류,11,어렝놀래기,"Cocktail wrasse, cocktail fish, 어렝이(제주도)",Pteragogus flagellifer,놀래기과,Family Labridae,MF0007935
612512,61,해면어류,25,놀래기류,12,옥두놀래기,Goddes razorfish,Xyrichtys dea,놀래기과,Family Labridae,MF0009136
612513,61,해면어류,25,놀래기류,13,청줄청소놀래기,,Labroides dimidiatuus,놀래기과,Family Labridae,
612514,61,해면어류,25,놀래기류,14,호박돔,Scarbreast tuskfish,Choerodon azurio,놀래기과,Family Labridae,MF0000038
612515,61,해면어류,25,놀래기류,15,혹돔,,Semicossyphus reticulatus,놀래기과,Family Labridae,MF0001167
612516,61,해면어류,25,놀래기류,16,황놀래기,"Bambooleaf wrasse, 황놀래기(경북)",Pseudolabrus sieboldi,놀래기과,Family Labridae,MF0000132
612599,61,해면어류,25,놀래기류,99,기타놀래기류,,,,,
612600,61,해면어류,26,농어류,00,농어류,,,,,
612601,61,해면어류,26,농어류,01,농어,"Japanese seaperch, Japanese seabass, 농에(경남 통영), 까지맥이(부산), 깔다구(전남, 춘천), 껄떡이(전남, 완도)",Lateolabrax japonicus,농어과,Family Moronidae,MF0010664
612602,61,해면어류,26,농어류,02,점농어,"Spotted sea bass, 농어",Lateolabrax maculatus,농어과,Family Moronidae,MF0002938
612603,61,해면어류,26,농어류,03,넙치농어,,Lateolabrax latus,농어과,Family Moronidae,
612699,61,해면어류,26,농어류,99,기타농어류,,,,,
612700,61,해면어류,27,눈퉁이류,00,눈퉁이류,,,,,
612701,61,해면어류,27,눈퉁이류,01,꼬리점눈퉁이,,Bembrops caudimacula,꼬리점눈퉁이과,Family Percophidae,MF0009517
612702,61,해면어류,27,눈퉁이류,02,줄굽은눈퉁이,Flathead,Bembrops curvatura,꼬리점눈퉁이과,Family Percophidae,MF0009518
612799,61,해면어류,27,눈퉁이류,99,기타눈퉁이류,,,,,
612800,61,해면어류,28,다동가리류,00,다동가리류,,,,,
612801,61,해면어류,28,다동가리류,01,아홉동가리,Morwong,Goniistius zonatus,다동가리과,Family Cheilodactylidae,MF0002146
612802,61,해면어류,28,다동가리류,02,여덟동가리,"Black-barred morwong, 열덟동가리(부산)",Goniistius quadricornis,다동가리과,Family Cheilodactylidae,MF0002147
612899,61,해면어류,28,다동가리류,99,기타다동가리류,,,,,
612900,61,해면어류,29,다랑어류,00,다랑어류,,,,,
612901,61,해면어류,29,다랑어류,01,가다랑어,"Skipjack tuna, 가다리, 에다대, 여다랭이, 강고등어(경남), 소용치, 목맨둥이, 다랭이(포항)",Katsuwonus pelamis,고등어과,Family Scombridae,MF0006689
612902,61,해면어류,29,다랑어류,02,점다랑어,"Kawakawa, Mackereltuna",Euthynnus affinis,고등어과,Family Scombridae,MF0000336
612903,61,해면어류,29,다랑어류,03,참다랑어,"Bluefin tuna, 참다랭이, 다랭이, 다랑어, 참치(강원), 태평양참다랑어",Thunnus orientalis,고등어과,Family Scombridae,MF0001149
612904,61,해면어류,29,다랑어류,04,눈다랑어,"Bigeye tuna, 눈다랭이",Thunnus obesus,고등어과,Family Scombridae,MF0001151
612905,61,해면어류,29,다랑어류,05,황다랑어,Yellowfin tuna,Thunnus albacares,고등어과,Family Scombridae,MF0001143
612906,61,해면어류,29,다랑어류,06,남방참다랑어,,Thunnus maccoyii,고등어과,Family Scombridae,
612907,61,해면어류,29,다랑어류,07,날개다랑어,Albacore,Thunnus alalunga,고등어과,Family Scombridae,MF0001142
612908,61,해면어류,29,다랑어류,08,백다랑어,Longtail tuna,Thunnus tonggol,고등어과,Family Scombridae,MF0001139
612909,61,해면어류,29,다랑어류,09,스리랑카다랑어,,,고등어과,Family Scombridae,
612910,61,해면어류,29,다랑어류,10,북방참다랑어,,Thunnus thynnus,고등어과,Family Scombridae,
612999,61,해면어류,29,다랑어류,99,기타다랑어류,,,,,
613000,61,해면어류,30,달고기류,00,달고기류,,,,,
613001,61,해면어류,30,달고기류,01,달고기,"John dory,점돔,점도미",Zeus faber,달고기과,Family Zeidae,MF0007688
613002,61,해면어류,30,달고기류,02,블랙오레오도리,,Allocyttus niger,,,
613003,61,해면어류,30,달고기류,03,남방달고기,스므스오레오도리,Pseudocyttus maculatus,,,MF0006633
613004,61,해면어류,30,달고기류,04,민달고기,"Mirror dory, 민전갱이(전남)",Zenopsis nebulosa,달고기과,Family Zeidae,MF0014366
613099,61,해면어류,30,달고기류,99,기타달고기류,,,,,
