Country (Country),ASFIS species (CPC class),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,2013,2014,2015,2016,2017,2018
Australia,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,89808.09,81827.2,68257.6,70567.12,85665.77,75921.98
Australia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2175.08,2497.48,2170.08,1756.89,2069.32,2056.03
Australia,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,497895.48,486927.5,471762.87,531779.02,577401.37,636601.31
Australia,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Australia,"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,148188.88,110334.82,98169.61,94311.68,88141.86,94141.4
Austria,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,4667.67,4702.33,4355.61,4222.26,4750.19,5107.81
Austria,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Austria,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,428.45,165.85,156.53,197.52,2064.49,2243.58
Austria,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,19403.67,21929.7,17924.85,20455.02,21792.06,23840.68
Azerbaijan,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,649.3,785.24,672.77,561.82,645.73,627.52
Azerbaijan,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Azerbaijan,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,694.2,1077.97,2789.09,1914.81,1758.35,569.99
Bahamas,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,5,5,5,5,5,0
Bahamas,"Other crustaceans, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Bahamas,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Bahamas,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Bahamas,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Bahamas,"Rock lobster and other sea crawfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,193.24,192.78,184,115,158.28
Bahrain,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,63.4,0,152.9,0,0
Bangladesh,"Crabs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,83855.74,95019.44,76258.17
Bangladesh,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,3229270.94,3473290.75,3807478.02,4162305.98,4409389.93,4461004.29
Bangladesh,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,181817.82,301569.1,322326.06,382427.24,389739.66,434303.62
Bangladesh,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,642107.21,680738.03,666269.9,594635.86,595266.45,498256.85
Bangladesh,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,360557.41,397658.29,353865.86,397855.42,415954.41,424859.8
Barbados,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,140,200,200,250,250,250
Barbados,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,6.25,6.25,6.25,6.25,6.25,6.25
Belarus,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,36843.25,24684.39,20974.64,20810.13,20924.14,22170.21
Belarus,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,814.51,1222.28,976.12,712.32,1360.76,1040.89
Belarus,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,755.06,1140.23,1393.92,2995.66,2275.22,3644.86
Belgium,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,344.96,345.06,355.04,487.04,774.4,993.63
Belgium,"Other aquatic invertebrates, live, fresh or chilled, n.e.c.",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Belgium,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Belgium,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,994.88,1006.67,244.09,0,0,0
Belize,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,180,117.5,125,137.5,150,150
Belize,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Belize,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,24780,28654.24,16600,4360,2000,2000
Belize,"Rock lobster and other sea crawfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Belize,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,20,4.4,6,6,6,6
Benin,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Benin,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2842.08,6366.11,12932.56,11520.46,14054.88,16325.39
Bhutan,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,121.57,292.48,331.24,412.38,558.34,534.29
Bhutan,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,102.39,140.91,168.35,147.33,138.2,135.68
Bolivia (Plurinat.State),"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,3838.61,4775.69,6744.53,7727.93,8639.65,8639.65
