Country (Country),ASFIS species (CPC class),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,2013,2014,2015,2016,2017,2018
China,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,4114425.47,4483813.8,4656554.41,5019287.42,5255137.49,5535521.52
China,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,68736.45,70406.22,67556.99,97005.69,114263.76,106398.14
China,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,3774182.15,4089124.53,4376094.72,4793057.22,5201507.64,4969149.35
China,"Sea cucumbers, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1111084.22,1217544.41,1232566.35,1285288.68,1392671.03,1104095.22
China,"Sea urchins, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,36868.94,41140.11,43514.63,63580.82,61481.77,56009.05
China,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Freshwater,Value (USD 1000),USD 1000,65012.14,71568.64,73705.4,67488.4,66156.88,64013.68
China,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,7936052.86,7749418.52,7909706.69,8251907.79,8813371.61,9429486.87
China,Others,All,Freshwater,Value (USD 1000),USD 1000,3822536.45,4046670.94,4003907.06,4371737.83,4352426.46,4442012.65
"China, Hong Kong SAR","Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2476.39,2863.77,2955.85,3321.23,3709.74,3677.28
"China, Hong Kong SAR","Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,3197.92,2514.42,3008.46,3902.3,3462.92,4001.58
"China, Hong Kong SAR","Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,11515.86,14401.53,13465.2,9994.84,9670.34,7877.32
"China, Hong Kong SAR","Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,55.51,502.07,55.34,595.46,379.17,549.21
"China, Hong Kong SAR","Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1160.08,1289.59,1289.83,1288.3,1668.11,2169
Colombia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,238050,248970,212951.4,200862.97,219199.03,285355.04
Colombia,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Colombia,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Colombia,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,870,870,0,0,0,0
Colombia,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,14998.5,10017,8698.9,10292.91,14596.41,20693.56
Colombia,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,1139.44,1179.13,1217.98
Colombia,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Colombia,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Colombia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,27835.6,31200,34966.54,35496.38,53415.62,83400.33
Congo,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,238,268,306,354,414,190
"Congo, Dem. Rep. of the","Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,8612,8618,10353,11071,11207.5,11207.5
Cook Islands,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,18,18,16.38,16.5,16.5,16.5
Cook Islands,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Cook Islands,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,5,5,1.5,5,5,5
Cook Islands,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Cook Islands,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,7,6,6,6
Cook Islands,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Cook Islands,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,0,0,10,10,0,0
Costa Rica,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,129364.9,110985,89194.7,79380,79380,79380
Costa Rica,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Costa Rica,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,810,1170,3150,3150,3150,3150
Costa Rica,"Other molluscs, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Costa Rica,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,17340,11892,10728,12000,12000,12000
Costa Rica,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,11,5.5,5.5,1,1,1
Costa Rica,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Costa Rica,"Oysters, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,276,270,300,285,285,285
Costa Rica,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,3612,3628.8,3767.4,3780,3780,3780
Croatia,"Flatfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,6.1,65.24,5.49,0,0
Croatia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,7258.85,7604.37,6989.86,6969.31,6327.35,6345.96
Croatia,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,2672.97,1107.74,965.31,919.83,1267.76,1363.37
Croatia,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,6.51
Croatia,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,42298.46,52840.82,61049.14,68592.94,77858.51,88059.72
Croatia,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Croatia,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,727.1,479.43,636.34,680.64,751.72,734.43
Croatia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1490.09,1499.44,2248.86,1741.35,1521.41,1611.59
Croatia,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,26.21,74.39,0,0,0,0
Croatia,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0.7,0.23,0.97,0.66,0.92
Croatia,"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,17631.56,28298.9,20981.43,20669.88,13028.15,21818.09
Cuba,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Cuba,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,23943.1,26052,26357,23028,24490,20968
Cuba,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,14405.65,14423.5,16516.5,17654,19708.5,22659
Cuba,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1518.7,1109.6,980,1113,1089,1186
Cuba,"Rock lobster and other sea crawfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Cyprus,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Cyprus,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,3.18,28.54,54.52,13.27,16.95,66.07
Cyprus,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,37783.6,35962.32,35226.81,39549,41604.35,45228.35
Cyprus,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,335.2,403.09,227.46,306.46,344.78,350.43
Cyprus,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,638.58,486.34,331.9,303.54,368.56,363.14
Cyprus,"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Czechia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,46334.21,46520.57,39644.05,41023.28,44874.06,48456.93
Czechia,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,27.99,41.33,18.41,10.8,48.17,61.21
Czechia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,3223.14,3271.18,2455.34,2575.31,3311.93,4840.29
Czechoslovakia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Czechoslovakia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
C?te d'Ivoire,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,2615.68,2613.7,2216.59,2640.77,2645.62,2771.19
C?te d'Ivoire,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,9341.35,9467.76,8590.76,12232.54,12877.63,13488.86
Denmark,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Denmark,"Fish of Gadiformes, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Denmark,"Flatfish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Denmark,"Flatfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,113.78,84.45,0,0,0,0
Denmark,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1228.59,859,365.75,1129.43,2206.61,3100.74
Denmark,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1146.57,1773.73,1132.57,1563.87,1681.75,2524.54
Denmark,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Denmark,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,7790.54,6774.47,3866.26,2961.34
Denmark,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,9023.69,8866.17,5656.14,6033.23,3802.88,3038.64
Denmark,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Denmark,"Other pelagic fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,962.85
Denmark,"Salmonidae, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,231.99,1061.89,0,0,0,0
Denmark,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,79738.04,82657.24,73395.88,81058.48,81743.22,87480.03
Denmark,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,53696.02,42071.7,42232.92,39823.96,49125.86,38842.41
Denmark,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,192.3,64.14,55.74,53.48,5.45,6.84
Dominica,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,25,25,25,25,0,0
Dominica,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,13,13,13,13,0,0
Dominican Republic,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Dominican Republic,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2475.21,3105.13,3218.97,3451.69,3981.33,3963.85
Dominican Republic,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Dominican Republic,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Dominican Republic,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,1130.76,1085.64
Dominican Republic,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1800.48,1727.91,1670.53,233.37,226.15,217.13
Dominican Republic,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,1555.23,3099.91,2996.97,2605.05,2524.49,2423.75
Dominican Republic,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,71.78,110.22,99.9,97.69,94.67,90.89
Dominican Republic,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Dominican Republic,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Ecuador,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,71884.8,71959.6,58745.6,102072.06,104145,104145
Ecuador,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Ecuador,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,30,35,0,0,0
Ecuador,"Other pelagic fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,2952.05,2975,2975
Ecuador,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,1672000,1870000,2216500,2194400,2288000,2652000
Ecuador,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Ecuador,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,22.78,54.26,72,72
Ecuador,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,19200,19200,27900,39331.5,39000,39000
Ecuador,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Ecuador,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,0,0,0,6.84,7.5,7.5
Ecuador,Others,All,Freshwater,Value (USD 1000),USD 1000,800,1250,1250,1250,1250,1250
Egypt,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,1146481.8,1101866.69,1072413.98,952918.61,830005.75,899482.79
Egypt,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,458912.56,410267.39,239095.06,316758.81,166012.23,174390.12
Egypt,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,374205.91,395771.85,420021.41,423061.09,350373.59,361572.63
Egypt,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,68386.3,68512.69,98471.41,73507.19,29834.11,33587.79
Egypt,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,40103.61,48096.29,78.01,503.72,379.59,436.19
El Salvador,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,11.5,11.5,11.5,11.5,16.5,16.5
El Salvador,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,8582.22,3485.25,16917,17095.61,17874.2,18627.2
El Salvador,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,4,4,8,12,12,12
El Salvador,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,3053.16,3215.52,2168,5035.52,5152,5152
El Salvador,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,90,18,8.88,17.99,26.46,26.46
El Salvador,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,15,15,15,15,22.5,22.5
Equatorial Guinea,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,36.23,38.63,32.29,59.02,60.13,62.98
Eritrea,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Eritrea,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Estonia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1875.82,930.3,1268.46,1239.99,1055.7,862.03
Estonia,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,32.35,19.75,24.19,29.31,34.38,21.31
Estonia,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,1164.16,246.99,163.24,123.53,167.31
Estonia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1817.58,2580.39,2232.78,2861.92,2989.05,3903.12
Estonia,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Eswatini,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,155.36,138.22,117.56,101.97,112.5,113.28
Eswatini,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Ethiopia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,36.7,71.61,72.17,71.37,85.73,98.05
Ethiopia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1.05,1.66,1.58,2.99,5.45,4.74
Falkland Is.(Malvinas),"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Falkland Is.(Malvinas),"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Faroe Islands,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,496273.58,565632.03,439903.83,454382.65,525830.08,499792.64
Fiji,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Fiji,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Fiji,"Crabs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,94.58,85.1,85.22,123.37,122.16
Fiji,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Fiji,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,488.76,540.44,486.26,515.59,589.29,626.62
Fiji,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Fiji,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Fiji,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,32.58,31.79,28.6,28.64,29.03,28.74
Fiji,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,244.38,238.43,214.53,214.83,217.72,215.58
Fiji,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,47,55,55,55,55,55
Finland,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Finland,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,823.51,1668.6,533.57,985.47,743.76,972.05
Finland,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,7789.84,6915.11,5079.77,5435.29,5521.8,7029.94
Finland,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2365.09,1841.3,2643.75,2257.02,2743.33,2261.8
Finland,"Salmonidae, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,46202.39,48608.12,39496.52,51691.51,62717.67,56069.51
Finland,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,7577.76,7232.03,7012.77,9006.26,9639.6,10393.46
France,"Abalone, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,90,90,90,105,105,105
France,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,17795.69,18028.5,16034.92,15347.21,15663.03,16373.93
France,"Flatfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,6815.21,5902.61,5888.73,6009.9,6282.68
France,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,18183.26,18188.5,15190.34,14832.5,15137.73,15824.79
France,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,175516.08,136048.13,124683.01,124015.21,126564.96,132309.42
France,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
France,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
France,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,6344.29,7537.01,5772.98,4582.58,5015.78,5243.44
France,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,47581.54,43202.56,38106.98,35122.03,32523.52,33999.68
France,"Other molluscs, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
France,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,1018.28,1501.07,1417.67,1328.28,1355.62,1417.14
France,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,516780.89,458388.4,372805.18,366617.38,449059.57,511601.3
France,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,137044.13,141855.25,103695.29,114531.26,116888.11,122193.36
France,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,1873.19,1630.98,1627.15,1660.63,1736
France,"Scallops, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
France,"Seaweeds and other algae, fresh, frozen or dried, whether or not ground",All,Marine,Value (USD 1000),USD 1000,178.86,189.71,293.58,276.73,282.42,295.24
France,Others,All,Freshwater,Value (USD 1000),USD 1000,60,80,80,80,100,100
French Guiana,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,27.81,27.82,23.23,23.18,16.57,17.32
French Guiana,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
French Polynesia,"Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose",All,Marine,Value (USD 1000),USD 1000,89246.47,98998.52,71544.2,62171.56,58160.26,60920.8
French Polynesia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
French Polynesia,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
French Polynesia,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
French Polynesia,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,195.58,196.96,293.71,307.74,331.55,370.93
French Polynesia,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
French Polynesia,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
French Polynesia,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1674.31,1896.88,1745.25,2031.46,2434.64,2535.41
Gabon,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,186.22,182.03,152.17,151.77,154.61,161.95
Gambia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,25,29,29,29,29,29
Gambia,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Gambia,"Oysters, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,10,10,10,10,10,10
Georgia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,1908.5,2054.47,1640.12,1660.1,1718.96,1904.48
Georgia,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,480.96,566.36,528.79,591.53,757.11,748.78
Georgia,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,90.62,74.91,0,0,0
Georgia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2885.74,3171.61,3183.74,3268.23,3718.21,4787.67
Georgia,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,215.49,274.15,351.21
Germany,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Germany,"Flatfish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Germany,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,23023.44,22301.77,17718.61,20071.92,18879.96,21785.38
Germany,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,14446.95,16904.91,13151.89,28340.71,26849.09,41028.91
Germany,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Germany,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,8915.39,10170.56,13612.02,11895.67,18911.77,19888.73
Germany,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,956.25,956.52,798.85,720,720,720
Germany,"Salmonidae, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,93.79,93,0,0,0,0
Germany,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,56008.4,62501.78,43677.33,47916.71,52343.85,52095.71
Ghana,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,66555.1,53155.85,48636.53,53680.5,52777.21,66839.32
Ghana,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,20.69,16.36,15.35,13.79,13.09
Greece,"Clams, cockles and ark shells, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,1.35,0,0,0,0,0
Greece,"Crabs, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,20.14,0,37.95,22.95,8.7,36.61
Greece,"Flatfish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,54.64,24.35,9.19,9.39,3.19,9.03
Greece,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Greece,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,159.71,99.15,349.97,51.62,210.63,25.3
Greece,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,9158.98,8441.92,7647.33,9280.16,8655.98,10352.67
Greece,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,3992.5,3610.29,2929.99,3503.85,2684.18,2624.84
Greece,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2809.03,3948,2831.48,4801.04,4111.05,3075.21
