"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"44","Australia","Other fish, live, fresh or chilled",10889.62,7220.26,13657.67,22300.98,20762.35,22316.65
"45","Australia","Other shrimps and prawns, live, fresh or chilled",57982.82,57260.71,64823.66,64290.04,65657.31,60160.72
"46","Australia","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"47","Australia","Oysters, live, fresh or chilled",0,0,0,0,0,0
"48","Australia","Oysters, live, fresh or chilled",89808.09,81827.2,68257.6,70567.12,85665.77,75921.98
"49","Australia","Salmonidae, live, fresh or chilled",2175.08,2497.48,2170.08,1756.89,2069.32,2056.03
"50","Australia","Salmonidae, live, fresh or chilled",497895.48,486927.5,471762.87,531779.02,577401.37,636601.31
"51","Australia","Scallops, live, fresh or chilled",0,0,0,0,0,0
"52","Australia","Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled",148188.88,110334.82,98169.61,94311.68,88141.86,94141.4
"53","Austria","Freshwater fish, live, fresh or chilled",4667.67,4702.33,4355.61,4222.26,4750.19,5107.81
"54","Austria","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"55","Austria","Other fish, live, fresh or chilled",428.45,165.85,156.53,197.52,2064.49,2243.58
"56","Austria","Salmonidae, live, fresh or chilled",19403.67,21929.7,17924.85,20455.02,21792.06,23840.68
"57","Azerbaijan","Freshwater fish, live, fresh or chilled",649.3,785.24,672.77,561.82,645.73,627.52
"58","Azerbaijan","Other fish, live, fresh or chilled",0,0,0,0,0,0
"59","Azerbaijan","Salmonidae, live, fresh or chilled",694.2,1077.97,2789.09,1914.81,1758.35,569.99
"60","Bahamas","Freshwater fish, live, fresh or chilled",5,5,5,5,5,0
"61","Bahamas","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"62","Bahamas","Other fish, live, fresh or chilled",0,0,0,0,0,0
"63","Bahamas","Other pelagic fish, live, fresh or chilled",0,0,0,0,0,0
"64","Bahamas","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"65","Bahamas","Rock lobster and other sea crawfish, live, fresh or chilled",0,193.24,192.78,184,115,158.28
"66","Bahrain","Other fish, live, fresh or chilled",0,63.4,0,152.9,0,0
"67","Bangladesh","Crabs, live, fresh or chilled",0,0,0,83855.74,95019.44,76258.17
"68","Bangladesh","Freshwater fish, live, fresh or chilled",3229270.94,3473290.75,3807478.02,4162305.98,4409389.93,4461004.29
"69","Bangladesh","Other fish, live, fresh or chilled",181817.82,301569.1,322326.06,382427.24,389739.66,434303.62
"70","Bangladesh","Other shrimps and prawns, live, fresh or chilled",642107.21,680738.03,666269.9,594635.86,595266.45,498256.85
"71","Bangladesh","Other shrimps and prawns, live, fresh or chilled",360557.41,397658.29,353865.86,397855.42,415954.41,424859.8
"72","Barbados","Freshwater fish, live, fresh or chilled",140,200,200,250,250,250
"73","Barbados","Other crustaceans, live, fresh or chilled",6.25,6.25,6.25,6.25,6.25,6.25
"74","Belarus","Freshwater fish, live, fresh or chilled",36843.25,24684.39,20974.64,20810.13,20924.14,22170.21
"75","Belarus","Other fish, live, fresh or chilled",814.51,1222.28,976.12,712.32,1360.76,1040.89
"76","Belarus","Salmonidae, live, fresh or chilled",755.06,1140.23,1393.92,2995.66,2275.22,3644.86
"77","Belgium","Freshwater fish, live, fresh or chilled",344.96,345.06,355.04,487.04,774.4,993.63
"78","Belgium","Other aquatic invertebrates, live, fresh or chilled, n.e.c.",0,0,0,0,0,0
"79","Belgium","Other fish, live, fresh or chilled",0,0,0,0,0,0
"80","Belgium","Salmonidae, live, fresh or chilled",994.88,1006.67,244.09,0,0,0
"81","Belize","Freshwater fish, live, fresh or chilled",180,117.5,125,137.5,150,150
"82","Belize","Other pelagic fish, live, fresh or chilled",0,0,0,0,0,0
"83","Belize","Other shrimps and prawns, live, fresh or chilled",24780,28654.24,16600,4360,2000,2000
"84","Belize","Rock lobster and other sea crawfish, live, fresh or chilled",0,0,0,0,0,0
"85","Belize","Seaweeds and other algae, fresh, frozen or dried, whether or not ground",20,4.4,6,6,6,6
"86","Benin","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"87","Benin","Freshwater fish, live, fresh or chilled",2842.08,6366.11,12932.56,11520.46,14054.88,16325.39
"88","Bhutan","Freshwater fish, live, fresh or chilled",121.57,292.48,331.24,412.38,558.34,534.29
"89","Bhutan","Salmonidae, live, fresh or chilled",102.39,140.91,168.35,147.33,138.2,135.68
